Locus_ID,Assembly_chainid,Assembly_speciestaxid
NZ_CP011385,734895,1337936
NZ_AP018173,2368175,1954171
NZ_AP018256,2368455,2005469
NZ_AP018257,2368455,2005469
NZ_AP018258,2368455,2005469
NZ_AP018259,2368455,2005469
NZ_AP018260,2368455,2005469
NZ_AP018261,2368455,2005469
NZ_AP018262,2368455,2005469
NZ_AP018263,2368455,2005469
NZ_AP018274,2368375,2005461
NZ_AP018275,2368375,2005461
NZ_AP018276,2368375,2005461
NZ_AP018277,2368375,2005461
NZ_AP018278,2368375,2005461
NZ_AP018279,2368375,2005461
NZ_CP017026,1717605,195
NZ_CP017027,1717605,195
NZ_CP007185,583755,195
NZ_CP007186,583755,195
NZ_CP007187,583755,195
NZ_CP007184,583755,195
NZ_CP007180,583795,195
NZ_CP017028,1717605,195
NZ_CP017879,1865555,195
NZ_CP017880,1865555,195
NZ_CP017872,1865495,195
NZ_CP023546,2407145,195
NZ_CP023547,2407145,195
NZ_CP011016,954195,195
NZ_CP011017,954195,195
NZ_CP013035,1417635,195
NZ_CP017869,1865475,195
NZ_CP017870,1865475,195
NZ_CP013736,1483845,195
NZ_CP013735,1483845,195
NZ_CP013734,1483845,195
NZ_CP017874,1865515,195
NZ_CP017866,1865455,195
NZ_CP017867,1865455,195
NZ_CP018901,1936355,195
NZ_CP017877,1865535,195
NZ_CP017876,1865535,195
NZ_CP020868,2104335,374106
NZ_CP020869,2104335,374106
NZ_CP008809,759485,196
NZ_CP008811,759515,196
NZ_CP008812,759515,196
NZ_CP007000,NA,NA
NZ_CP007001,NA,NA
NZ_CP007002,NA,NA
NZ_CP014569,1686885,196
NZ_CP014570,1686885,196
NZ_CP020479,2080395,28898
NZ_CP020480,2080395,28898
NZ_CP020481,2080395,28898
NZ_CP020482,2080395,28898
NZ_CP020483,2080395,28898
NZ_CP009044,736415,1244531
NZ_CP023544,2407125,197
NZ_CP017230,2214785,197
NZ_CP017231,2214785,197
NZ_CP017864,1865435,197
NZ_CP014745,1587015,197
NZ_CP014746,1587015,197
NZ_CP022471,2234455,197
NZ_CP014345,1563565,197
NZ_CP017861,1865415,197
NZ_CP014743,1587035,197
NZ_CP020775,2101355,197
NZ_CP017857,1870085,197
NZ_CP017858,1870085,197
NZ_CP017854,1870105,197
NZ_CP017855,1870105,197
NZ_CP007752,1865615,197
NZ_CP007750,1865595,197
NZ_CP010302,835365,197
NZ_CP010303,835365,197
NZ_CP010073,835345,197
NZ_CP010074,835345,197
NZ_CP017030,1717625,197
NZ_CP022078,2209045,197
NZ_CP007767,816785,488546
NZ_CP007768,816785,488546
NZ_CP018794,2139875,1660076
NZ_CP018795,2139875,1660076
NZ_CP018790,2139855,1660073
NZ_CP018792,2139895,1660074
NZ_AP017915,2091395,511435
NZ_AP017916,2091395,511435
NZ_AP017917,2091395,511435
NZ_AP017918,2091395,511435
NZ_AP017919,2091395,511435
NZ_CP011788,1269425,186490
NZ_AP017460,2355835,1408204
NZ_AP017461,2355835,1408204
NZ_AP017462,2355835,1408204
NZ_LT670852,900143135,1922217
NZ_AP010873,828515,168169
NZ_AP014837,2356115,1630141
NZ_CP010908,971765,1235990
NZ_CP010909,971765,1235990
NZ_CP010910,971765,1235990
NZ_CP010911,971765,1235990
NZ_CP008942,742835,91604
NZ_CP012592,1278785,669502
NZ_CP012421,1273795,33989
NZ_CP012422,1273795,33989
NZ_CP010819,1483965,1564681
NZ_CP013003,1414055,69395
NZ_CP023526,2393445,158822
NZ_CP022197,2407265,1758178
NZ_CP004394,819565,1208324
NZ_CP004395,819565,1208324
NZ_CP004396,819565,1208324
NZ_CP004397,819565,1208324
NZ_CP004398,819565,1208324
NZ_CP018096,1887265,444444
NZ_CP012399,1271345,1702325
NZ_CP006572,583875,1457141
NZ_CP015841,471025,1457153
NZ_CP019793,2007725,1457153
NZ_LT821324,900169085,83559
NZ_CP007132,1183765,813
NZ_CP010568,1183805,813
NZ_CP015295,1655335,813
NZ_CP015297,1655375,813
NZ_CP015303,1655495,813
NZ_CP015299,1655415,813
NZ_CP015301,1655455,813
NZ_CP015305,1655535,813
NZ_CP010570,1183825,813
NZ_CP015307,1655575,813
NZ_CP010572,1183845,813
NZ_CP009924,971705,813
NZ_CP009926,971725,813
NZ_CP018053,1885175,813
NZ_AP018282,2368355,2005460
NZ_AP018283,2368355,2005460
NZ_AP018284,2368355,2005460
NZ_AP018285,2368355,2005460
NZ_AP018286,2368355,2005460
NZ_AP018287,2368355,2005460
NZ_CP015200,1648155,1685010
NZ_CP015201,1648155,1685010
NZ_CP013294,1456155,1721091
